"USER_ID","ps_weight_st"
14174433,0.9152911346
14182855,0.7866801148
14193427,0.9571908409
14195250,0.3187966507
14196290,0.1428225823
14204581,5.4790586803
14209000,1.2996694294
14211797,0.1687970879
14212159,0.9395411102
14219648,0.2820367147
14228630,0.4115672376
14230371,1.4811306062
14233734,0.6227401636
14236855,0.1029985937
14239534,1.2996694294
14246291,1.0342934327
14247075,1.6168146485
14251310,0.5343224462
14270552,0.3638164319
14287526,2.6366307809
14294063,0.4115672376
14295518,0.4158684309
14299099,5.4790586803
14313003,0.6455320357
14317535,2.2910269065
14328087,0.2820367147
14328504,0.9571908409
14343465,2.6878107323
14346133,1.1188048478
14347877,1.2996694294
14352049,0.9152911346
14357667,1.4531304683
14371778,0.754548029
14373795,0.3187966507
14379875,0.6455320357
14389503,1.0617794328
14402967,0.6227401636
14404048,2.6366307809
14409482,0.8951973018
14410107,3.0081998066
14411590,0.8336708068
14442277,0.0949986537
14442765,0.4115672376
14450104,0.4667456335
14451585,0.2820367147
14455250,0.1649510787
14463336,0.2820367147
14476723,0.8269154367
14485380,0.1029985937
14487306,0.9571908409
14491610,0.6455320357
14496856,0.5632427905
14500669,0.0499949015
14506209,0.063247129
14506379,0.2358161812
14518685,0.1698863541
14520619,0.5632427905
14523919,0.1942592494
14535456,0.2820367147
14536184,0.6418674807
14539070,0.9152911346
14539140,0.2415892222
14539974,0.2820367147
14543475,0.5915420198
14543805,0.3638164319
14549797,0.5788688721
14550789,0.3638164319
14550793,0.754548029
14551078,0.5632427905
14551951,2.6878107323
14555007,0.8336708068
14555647,0.7866801148
14565057,0.3356075492
14566810,1.8597366548
14567026,0.8336708068
14571356,2.3102097703
14573317,0.4115672376
14574632,0.6455320357
14578154,1.1829556561
14581255,0.0499949015
14582947,0.6455320357
14584817,1.8710610111
14596282,0.7216897149
14597642,0.2820367147
14598013,0.1649510787
14599208,0.063247129
14601664,0.4115672376
14604203,0.3187966507
14606155,0.4667456335
14609226,5.4790586803
14610384,0.5788688721
14610400,1.2996694294
14610883,1.7033655543
14612252,0.4115672376
14612471,3.6198605158
14615076,0.2820367147
14618175,0.063247129
14621220,3.4632592558
14621851,0.3187966507
14623530,0.3638164319
14624416,0.1649510787
14624445,0.5632427905
14625632,0.4667456335
14625910,0.2820367147
14627239,1.4811306062
14627447,0.2820367147
14628386,0.4115672376
14629034,0.2805136655
14629538,0.2820367147
14630892,3.0940220832
14632181,0.4932673736
14635019,0.3638164319
14638410,0.8336708068
14640211,0.9152911346
14640715,0.3356075492
14642100,0.2820367147
14642498,0.1687970879
14645827,0.6455320357
14646216,0.6455320357
14646273,1.4811306062
14647419,0.4115672376
14650657,1.0042406865
14651122,0.5632427905
14651255,0.9152911346
14651446,0.5788688721
14652216,0.3638164319
14652814,0.6418674807
14653362,0.4158684309
14653564,1.1829556561
